crate	Apache-2.0	Apache-2.0 WITH LLVM-exception	BSD-2-Clause	BSD-3-Clause	BSL-1.0	CC0-1.0	CDLA-Permissive-2.0	ISC	LGPL-2.1-or-later	MIT	Unicode-3.0	Unlicense	Zlib
nibble_vec@0.1.0										X			
num@0.4.3	X									X			
num-bigint@0.4.6	X									X			
num-complex@0.4.6	X									X			
num-conv@0.2.1	X									X			
num-integer@0.1.46	X									X			
num-iter@0.1.45	X									X			
num-rational@0.4.2	X									X			
num-traits@0.2.19	X									X			
once_cell@1.21.4	X									X			
once_cell_polyfill@1.70.2	X									X			
opendal@0.55.0	X												
openssl-probe@0.2.1	X									X			
ordered-float@5.3.0										X			
ordered-multimap@0.7.3										X			
parking_lot@0.12.5	X									X			
parking_lot_core@0.9.12	X									X			
parse-display@0.10.0	X									X			
parse-display@0.9.1	X									X			
parse-display-derive@0.10.0	X									X			
parse-display-derive@0.9.1	X									X			
percent-encoding@2.3.2	X									X			
petgraph@0.8.3	X									X			
pin-project@1.1.11	X									X			
pin-project-internal@1.1.11	X									X			
pin-project-lite@0.2.17	X									X			
pkg-config@0.3.32	X									X			
plain@0.2.3	X									X			
portable-atomic@1.13.1	X									X			
portable-atomic-util@0.2.6	X									X			
potential_utf@0.1.5											X		
powerfmt@0.2.0	X									X			
ppv-lite86@0.2.21	X									X			
prettyplease@0.2.37	X									X			
proc-macro2@1.0.106	X									X			
prost@0.14.3	X												
prost-build@0.14.3	X												
prost-derive@0.14.3	X												
prost-types@0.14.3	X												
pyo3@0.28.3	X									X			
pyo3-async-runtimes@0.28.0	X												
pyo3-build-config@0.28.3	X									X			
pyo3-ffi@0.28.3	X									X			
pyo3-macros@0.28.3	X									X			
pyo3-macros-backend@0.28.3	X									X			
python3-dll-a@0.2.14										X			
quanta@0.12.6										X			
quick-xml@0.37.5										X			
quick-xml@0.38.4										X			
quote@1.0.45	X									X			
r-efi@5.3.0	X								X	X			
r-efi@6.0.0	X								X	X			
radium@0.7.0										X			
radix_trie@0.2.1										X			
rand@0.8.5	X									X			
rand@0.9.3	X									X			
rand_chacha@0.3.1	X									X			
rand_chacha@0.9.0	X									X			
rand_core@0.6.4	X									X			
rand_core@0.9.5	X									X			
rand_xoshiro@0.7.0	X									X			
rapidhash@4.4.1	X									X			
raw-cpuid@11.6.0										X			
redox_syscall@0.5.18										X			
redox_syscall@0.7.3										X			
regex@1.12.3	X									X			
regex-automata@0.4.14	X									X			
regex-lite@0.1.9	X									X			
regex-syntax@0.8.10	X									X			
reqsign@0.16.5	X												
reqwest@0.12.28	X									X			
ring@0.17.14	X							X					
rust-ini@0.21.3										X			
rustc-hash@2.1.2	X									X			
rustc_version@0.4.1	X									X			
rustix@1.1.4	X	X								X			
rustler@0.38.0	X									X			
rustler_codegen@0.38.0	X									X			
rustls@0.23.37	X							X		X			
rustls-native-certs@0.8.3	X							X		X			
rustls-pki-types@1.14.0	X									X			
rustls-webpki@0.103.13								X					
rustversion@1.0.22	X									X			
ryu@1.0.23	X				X								
schannel@0.1.29										X			
scopeguard@1.2.0	X									X			
scratch@1.0.9	X									X			
security-framework@3.7.0	X									X			
security-framework-sys@2.17.0	X									X			
semver@1.0.28	X									X			
serde@1.0.228	X									X			
serde_core@1.0.228	X									X			
serde_derive@1.0.228	X									X			
serde_json@1.0.149	X									X			
serde_repr@0.1.20	X									X			
serde_urlencoded@0.7.1	X									X			
serde_with@3.18.0	X									X			
serde_with_macros@3.18.0	X									X			
sha1@0.10.6	X									X			
sha2@0.10.9	X									X			
shlex@1.3.0	X									X			
signal-hook-registry@1.4.8	X									X			
simdutf8@0.1.5	X									X			
sketches-ddsketch@0.3.1	X												
slab@0.4.12										X			
smallvec@1.15.1	X									X			
snafu@0.8.9	X									X			
snafu-derive@0.8.9	X									X			
socket2@0.6.3	X									X			
stable_deref_trait@1.2.1	X									X			
strsim@0.11.1										X			
structmeta@0.3.0	X									X			
structmeta-derive@0.3.0	X									X			
strum@0.26.3										X			
strum_macros@0.26.4										X			
subtle@2.6.1				X									
syn@2.0.117	X									X			
sync_wrapper@1.0.2	X												
synstructure@0.13.2										X			
tap@1.0.1										X			
target-lexicon@0.13.5		X											
tempfile@3.27.0	X									X			
termcolor@1.4.1										X		X	
testcontainers@0.27.2	X									X			
thiserror@1.0.69	X									X			
thiserror@2.0.18	X									X			
thiserror-impl@1.0.69	X									X			
thiserror-impl@2.0.18	X									X			
tikv-jemalloc-sys@0.6.1+5.3.0-1-ge13ca993e8ccb9ba9847cc330696e02839f328f7	X									X			
tikv-jemallocator@0.6.1	X									X			
time@0.3.47	X									X			
time-core@0.1.8	X									X			
tiny-keccak@2.0.2						X							
tinystr@0.8.3											X		
tokio@1.52.3										X			
tokio-macros@2.7.0										X			
tokio-rustls@0.26.4	X									X			
tokio-stream@0.1.18										X			
tokio-util@0.7.18										X			
tonic@0.14.5										X			
tonic-prost@0.14.5										X			
tower@0.5.3										X			
tower-http@0.6.8										X			
tower-layer@0.3.3										X			
tower-service@0.3.3										X			
tracing@0.1.44										X			
tracing-attributes@0.1.31										X			
tracing-core@0.1.36										X			
try-lock@0.2.5										X			
twox-hash@2.1.2										X			
typenum@1.19.0	X									X			
unicode-ident@1.0.24	X									X	X		
unicode-width@0.2.2	X									X			
untrusted@0.9.0								X					
ureq@3.3.0	X									X			
ureq-proto@0.6.0	X									X			
url@2.5.8	X									X			
utf8-zero@0.8.1	X									X			
utf8_iter@1.0.4	X									X			
utf8parse@0.2.2	X									X			
uuid@1.23.0	X									X			
value-bag@1.12.0	X									X			
version_check@0.9.5	X									X			
want@0.3.1										X			
wasi@0.11.1+wasi-snapshot-preview1	X	X								X			
wasip2@1.0.2+wasi-0.2.9	X	X								X			
wasip3@0.4.0+wasi-0.3.0-rc-2026-01-06	X	X								X			
wasm-bindgen@0.2.117	X									X			
wasm-bindgen-futures@0.4.67	X									X			
wasm-bindgen-macro@0.2.117	X									X			
wasm-bindgen-macro-support@0.2.117	X									X			
wasm-bindgen-shared@0.2.117	X									X			
wasm-streams@0.4.2	X									X			
web-sys@0.3.94	X									X			
web-time@1.1.0	X									X			
webpki-roots@1.0.6							X						
winapi@0.3.9	X									X			
winapi-i686-pc-windows-gnu@0.4.0	X									X			
winapi-util@0.1.11										X		X	
winapi-x86_64-pc-windows-gnu@0.4.0	X									X			
windows-core@0.62.2	X									X			
windows-implement@0.60.2	X									X			
windows-interface@0.59.3	X									X			
windows-link@0.2.1	X									X			
windows-result@0.4.1	X									X			
windows-strings@0.5.1	X									X			
windows-sys@0.52.0	X									X			
windows-sys@0.61.2	X									X			
windows-targets@0.52.6	X									X			
windows_aarch64_gnullvm@0.52.6	X									X			
windows_aarch64_msvc@0.52.6	X									X			
windows_i686_gnu@0.52.6	X									X			
windows_i686_gnullvm@0.52.6	X									X			
windows_i686_msvc@0.52.6	X									X			
windows_x86_64_gnu@0.52.6	X									X			
windows_x86_64_gnullvm@0.52.6	X									X			
windows_x86_64_msvc@0.52.6	X									X			
wit-bindgen@0.51.0	X	X								X			
writeable@0.6.3											X		
wyz@0.5.1										X			
xattr@1.6.1	X									X			
yoke@0.8.2											X		
yoke-derive@0.8.2											X		
zerocopy@0.8.48	X		X							X			
zerocopy-derive@0.8.48	X		X							X			
zerofrom@0.1.7											X		
zerofrom-derive@0.1.7											X		
zeroize@1.8.2	X									X			
zerotrie@0.2.4											X		
zerovec@0.11.6											X		
zerovec-derive@0.11.3											X		
zmij@1.0.21										X			
zstd@0.13.3										X			
zstd-safe@7.2.4	X									X			
zstd-sys@2.0.16+zstd.1.5.7	X									X			
