crate	Apache-2.0	Apache-2.0 WITH LLVM-exception	BSD-2-Clause	BSD-3-Clause	BSL-1.0	CC0-1.0	CDLA-Permissive-2.0	ISC	LGPL-2.1-or-later	MIT	Unicode-3.0	Unlicense	Zlib
ahash@0.8.12	X									X
aho-corasick@1.1.5										X		X
android_system_properties@0.1.6	X									X
anstream@1.0.0	X									X
anstyle@1.0.14	X									X
anstyle-parse@1.0.0	X									X
anstyle-query@1.1.5	X									X
anstyle-wincon@3.0.11	X									X
anyhow@1.0.104	X									X
arrow@59.2.0	X
arrow-arith@59.2.0	X
arrow-array@59.2.0	X									X
arrow-buffer@59.2.0	X
arrow-cast@59.2.0	X
arrow-csv@59.2.0	X
arrow-data@59.2.0	X
arrow-ipc@59.2.0	X
arrow-json@59.2.0	X
arrow-ord@59.2.0	X
arrow-row@59.2.0	X
arrow-schema@59.2.0	X
arrow-select@59.2.0	X
arrow-string@59.2.0	X
async-trait@0.1.92	X									X
atoi@2.0.0										X
atomic-waker@1.1.2	X									X
autocfg@1.5.1	X									X
axum@0.8.9										X
axum-core@0.5.6										X
backon@1.6.0	X
base64@0.22.1	X									X
base64@0.23.1	X									X
bigdecimal@0.4.10	X									X
bitflags@2.13.1	X									X
bitvec@1.1.1										X
block-buffer@0.10.4	X									X
bumpalo@3.20.3	X									X
byteorder@1.5.0										X		X
bytes@1.12.1										X
cc@1.4.3	X									X
cfg-if@1.0.4	X									X
chrono@0.4.45	X									X
clap@4.6.6	X									X
clap_builder@4.6.6	X									X
clap_derive@4.6.4	X									X
clap_lex@1.1.0	X									X
colorchoice@1.0.5	X									X
const-random@0.1.18	X									X
const-random-macro@0.1.16	X									X
core-foundation-sys@0.8.7	X									X
crc32c@0.6.8	X									X
crossbeam-epoch@0.9.20	X									X
crossbeam-utils@0.8.22	X									X
crunchy@0.2.4										X
crypto-common@0.1.7	X									X
csv@1.4.0										X		X
csv-core@0.1.13										X		X
dashmap@6.2.1										X
delegate@0.13.5	X									X
digest@0.10.7	X									X
displaydoc@0.2.7	X									X
either@1.17.0	X									X
equivalent@1.0.2	X									X
errno@0.3.14	X									X
fastrand@2.5.0	X									X
find-msvc-tools@0.1.11	X									X
flatbuffers@25.12.19	X
fluss-gateway@1.0.0-SNAPSHOT	X
fluss-rs@1.0.0	X
foldhash@0.2.0													X
form_urlencoded@1.2.2	X									X
funty@2.0.0										X
futures@0.3.34	X									X
futures-channel@0.3.34	X									X
futures-core@0.3.34	X									X
futures-executor@0.3.34	X									X
futures-io@0.3.34	X									X
futures-macro@0.3.34	X									X
futures-sink@0.3.34	X									X
futures-task@0.3.34	X									X
futures-util@0.3.34	X									X
generic-array@0.14.7										X
getrandom@0.2.17	X									X
getrandom@0.3.4	X									X
getrandom@0.4.3	X									X
gloo-timers@0.3.0	X									X
half@2.7.1	X									X
hashbrown@0.14.5	X									X
hashbrown@0.16.1	X									X
hashbrown@0.17.1	X									X
heck@0.5.0	X									X
http@1.5.0	X									X
http-body@1.1.0										X
http-body-util@0.1.5										X
httparse@1.10.1	X									X
httpdate@1.0.3	X									X
hyper@1.11.0										X
hyper-rustls@0.27.9	X							X		X
hyper-util@0.1.20										X
iana-time-zone@0.1.65	X									X
iana-time-zone-haiku@0.1.2	X									X
icu_collections@2.1.1											X
icu_locale_core@2.1.1											X
icu_normalizer@2.1.1											X
icu_normalizer_data@2.1.1											X
icu_properties@2.1.2											X
icu_properties_data@2.1.2											X
icu_provider@2.1.1											X
idna@1.1.0	X									X
idna_adapter@1.2.1	X									X
indexmap@2.14.0	X									X
ipnet@2.12.1	X									X
is_terminal_polyfill@1.70.2	X									X
itertools@0.14.0	X									X
itoa@1.0.18	X									X
jiff@0.2.35										X		X
jiff-core@0.1.0										X		X
jiff-tzdb@0.1.8										X		X
jiff-tzdb-platform@0.1.3										X		X
jobserver@0.1.35	X									X
js-sys@0.3.104	X									X
lexical-core@1.0.6	X									X
lexical-parse-float@1.0.6	X									X
lexical-parse-integer@1.0.6	X									X
lexical-util@1.0.7	X									X
lexical-write-float@1.0.6	X									X
lexical-write-integer@1.0.6	X									X
libc@0.2.189	X									X
libm@0.2.16										X
linked-hash-map@0.5.6	X									X
linux-raw-sys@0.12.1	X	X								X
litemap@0.8.2											X
lock_api@0.4.14	X									X
log@0.4.33	X									X
lz4_flex@0.14.0										X
matchit@0.8.4				X						X
md-5@0.10.6	X									X
memchr@2.8.3										X		X
metrics@0.24.6										X
metrics-exporter-prometheus@0.17.2										X
metrics-util@0.20.4										X
mime@0.3.17	X									X
mio@1.2.2										X
num-bigint@0.4.8	X									X
num-bigint@0.5.1	X									X
num-complex@0.4.6	X									X
num-integer@0.1.47	X									X
num-traits@0.2.19	X									X
once_cell@1.21.4	X									X
once_cell_polyfill@1.70.2	X									X
opendal@0.55.0	X
ordered-float@5.3.0										X
parking_lot@0.12.5	X									X
parking_lot_core@0.9.12	X									X
parse-display@0.10.0	X									X
parse-display-derive@0.10.0	X									X
paste@1.0.15	X									X
percent-encoding@2.3.2	X									X
pin-project-lite@0.2.17	X									X
pkg-config@0.3.34	X									X
